author,comment,like_count,published_at
@memooctary6978,"Semoga pak Prabowo mendengar masukan,  saran dan ketakutan rakyat Indonesia 🤲...bahwa proyek ini untuk kesejahteraan rakyat Indonesia 
..menjadi malaikat bukan MONSTER bagi rakyat Indonesia",0,2025-03-10T06:20:37Z
@aponknango,"52:20 tidak akan pernah jadi pembelajaran bagi negara ini,,, apabila Koruptor tidak pernah di hukum mati atau di miskin kan hingga keluarga y",0,2025-03-10T05:43:57Z
@Maknakata2024,"Satu pertanyaan, sebutkan mega proyek mana yg tidak di korupsi?
Apalagi danantara, siapa yg jamin tidak di korupsi",0,2025-03-10T04:18:43Z
@kaharuddin09fh-wc3qc,"1. Kembalikan SDA ke negara agar dikelola sendiri oleh negara berdasarkan pasal 33  ayat 1,2 dan 3 UUD 45 yang bunyinya air . Bumi dan kekayaan sumberdaya alam lainya dikuasai oleh negara diperuntukkan untuk kesejahteraan kemakmuran rakyat.
 2. Terapkan hukuman mati buat para koruptor. 
3. Sahkan UU perampasan aset. 

Kalo sudah terapkan yang ke 3 point ini yang disebut kan diatas  sudah kembali kejalan yang benar",0,2025-03-10T03:03:17Z
@kotarohardrockbontot1924,"Kesini cm  krna ad raymond 😂 , yg pejbat nya gk pduli",0,2025-03-10T01:55:14Z
@NovittaSary,Abang rey mksh banyak udh ngewskilin,0,2025-03-09T22:16:07Z
@NovittaSary,"Pak nyatanyh koruptor di kita bkn sekali dua kali.. 
Lalu keperrcayaan masyarakat seperti apa lg yg mau bpk harapkan",0,2025-03-09T22:15:19Z
@sh.ortburst,"Ngapain institusi kayak polri, KPK, BPK di danantara ? Tugas mereka kan mengawasi dari luar",0,2025-03-09T20:36:44Z
@saya_sappol2735,Menciptakan lumbung korupsi isinya mafia semua,0,2025-03-09T18:22:50Z
@bahtiarobah2376,"Gimna gk PESIMIS, org isi di dalamanya cuma KOMPLOTAN yg itu2 aja

Tau kan setiap ada proyek pasti cman menyelamatkan KEPENTINGAN masing2",0,2025-03-09T18:13:02Z
@istantoraharjo,Yakin deh sepi investor…. fundamental negara kita aja jelek!!!!!! Kok launching danantara… aneh emang lebih ke bodoh,0,2025-03-09T17:22:27Z
@WicakSama,"Sudah pasti di mungkinkan 
Tidak akan tidak mungkin",0,2025-03-09T16:50:09Z
@Mega-sc7vd,ingatin muka ni botak ges.,0,2025-03-09T14:55:26Z
@TarjukiTarjuki-w1k,"Anak muda seperti ini,pak prabowo harus melihat, agar mas Raymond bisa masuk dlam pemerintahan",0,2025-03-09T13:05:44Z
@ImWillyDS,"Semakin saya tonton,. semakin saya yakin . . . .kalo Danantara akan gagal, purely karena CEO tiap kali ditanya, jawabnya ngeblunder lempar sana sini, sampai si Raymond aja tanya sekali lagi buat minta jawaban, dan dijawab dengan perumpamaan blunder soal pacaran yang kalo ketemu cewek lain",0,2025-03-09T12:08:42Z
@MsSatriyo,"Politik selamanya akan menjadi politik
Ya politik untuk siapa? ....",0,2025-03-09T08:28:44Z
@haninannisaa583,"Good point untuk mas Raymond atas pertanyaannya dan kritis atas tata kelola Danantara. Jawaban yang cukup dari pak Rosan atas kekhawatiran publik yang membayangi Danantara. Tentunya, ada point yang saya suka disini yaitu : Danantara masih bayi, baru diluncurkan dengan ekspektasi yang luar biasa. Dan saya setuju dengan point bahwa membentuk sebuah sistem yang good governance adalah kuncinya. Dengan adanya sistem yang jelas dan semuanya terkontrol bahkan oleh publik bukan tidak mungkin Danantara akan sukses. Namun, kembali lagi ke point bahwa dari sekian investasi mungkin ada beberapa yang below rate tapi tidak bisa langsung dicap gagal. Disini yang perlu sangat diupayakan adalah 'kontrol' sistem yang dipegang oleh pihak2 terkait harus senantiasa dijamin bersih dan tidak dikorupsi. Terimakasih banyak atas tambahan wawasannya. Terimakasih Rosi yang sudah memoderatori sesi pembicaraan kali ini.",0,2025-03-09T07:09:54Z
@HeruSantoso-uj6en,TUNDA saja dulu DANANTARA & bersihkan KORUPSI nya serta tak perlu buru-buru,0,2025-03-09T03:35:16Z
@kaumadat5210,"mulai skrg berhenti belanja barang impor ,love you lokal ❤🎉❤🎉❤",0,2025-03-09T02:06:39Z
@Jons86-j8x,"Bagus ini, lindungi semua aset negara dan rakyat..., ingat soros waktu memporak pandakan nilai rupiah masuk jurang tak berharga.",0,2025-03-09T00:04:54Z
@blackmoe4861,"45:37 terima kasih, transparansi nya ditunggu pak. anak cucu ni",0,2025-03-08T22:46:07Z
@blackmoe4861,"28:45 , ditanggepin lagi",0,2025-03-08T22:36:09Z
@blackmoe4861,"18:50 , analoginya orang pacaran. Bpak rosan semangat pak😂. Jangan sampe anak cucu gw yg ketimpaan jadi korban, ya pak rosan",0,2025-03-08T21:44:46Z
@kristoperlala772,Hukuman MATI !!!! Buat korupsi sah kan buruan,0,2025-03-08T19:07:29Z
@PeternakLobster24,Keren bgt ko remin. Mestinya dia yg pantas memimpin danantara,0,2025-03-08T18:49:09Z
@gilangpamungkas1706,Lebih mewakili rakyat dari pada dpr...,0,2025-03-08T16:29:04Z
@gilangpamungkas1706,Diskusi yg sangan berkelas...🎉🎉🎉 Akhirnya aku bisa mendengarkan diskusi yg sangat berkelas di negeri ini...,0,2025-03-08T16:27:53Z
@CitraBali-b3h,kok makin skeptis yah,0,2025-03-08T15:22:46Z
@afzzalajah,galfok sama websitenya hehehehe danatara,0,2025-03-08T13:58:24Z
@rimurutempest4886,"Halah dari contoh simple, kabinet menteri? BENGKAK😂😂
menteri bumn? KORUPSI PERTAMINA
menteri keuangan? PPN goofy ahh
Halah prekkkkk 😂",1,2025-03-08T13:24:22Z
@AsepSaputra-lv8cz,"Ini proyek besar. Yg akan menentukan kedepan nya. Harus ada yg mengawasi dan transparasi, serta Buat surat pernyataan semua anggota nya di atas materai dan publikasikan ke publik, apabila ada salah satu yang menyelewengkan dana tersebut / korupsi maka siapkan penjara 60 thn. Dan aset yg dirugikan dikembalikan kenegara.
Baru kita merasa lega",0,2025-03-08T06:51:31Z
@djufrigosal6084,"Jiwasraya kecil dan diawasi,...asih toh dipermainkan investasinya,....apalagi yg gede amat DANANTARA yg tidak diawasi oleh lembaga aduh3😓😓😓begitu rugi dibenarkan dengan 2 kata saja,....Risiko Bisnis,....Lembaga pengawasa tidak lagi dipercaya,......jadi apa negara ini😓😓😓😓😓😓😓😓",0,2025-03-08T05:33:02Z
@dreamcookie8001,kerennn,0,2025-03-08T01:18:16Z
@wowsatu3364,"UDAH GINI AJALAH, SAYA SANGAT PESIMIS KENAPA??? SIMAK INI!!
Anda ini lucu pemerintah! Ngebandingkan Indonesia dengan singapura , ngaco anda!
Harusnya gini logikanya!!!!

Singapura -> Indeks korupsi tahun 2024 peringkat ke-3 dari 180 negara -> TEMASEK SUKSES!!
Malaysia -> Indeks korupsi tahun 2024 Peringkat ke-57 dari 180 negara -> 1MDB GAGAL DAN DIKORUPSI!!!
Indonesia -> Indeks korupsi tahun 2024 peringkat ke-99 dari 180 negara -> DANANTARA???

Kira2 menurut kalian lebih makesense dibandingkan sama yg mana???
ITU YG PERINGKAT 57 AJA KORUPSI BROOOO!!! ente jangan bandingkan sama TEMASEK lah!!!!!!!!!!!!",3,2025-03-08T01:16:14Z
@marthenumbuleku7968,Korupsi tetap terjadi pada Proyek ini...,0,2025-03-08T00:26:29Z
@ORANGBIASA1404,"Semoga pemimpin kita SHOLAT di terima ALLAH SWT
,saya masyarakat Indonesia,perlu pemimpin yang jujur,siapa lagi yang di percaya masyarakat Indonesia jika tidak pemimpin yang terpilih alias terbaik.🎉",0,2025-03-07T22:56:47Z
@inthedark8213,Min 58.00 memang mengkhawatirkan.,0,2025-03-07T22:04:39Z
@aseprahman4568,Intinya sistem dan transparasinya aja. Klo ga ada jangan harap,0,2025-03-07T15:42:47Z
@rizkyfirmansyah9541,Korupsi Hukum mati,0,2025-03-07T15:09:29Z
@afiliasiaktif,KUNCINYA:TINGGAL SERAHKAN KEPADA MALAIKAT MAUT AJA BIAR TERBALASKAN DI ALAM KUBUR,0,2025-03-07T13:48:50Z
@putunanda2650,"Sesimple sahkan dulu uu perampasan aset buat koruptor setidaknya agar kepercayaan dan pandangan masyarakat jadi lebih membaik, emangnya sesusah itu ya mengesahkan sebuah uu daripadi mengelola uang 14.000t 😂😂",0,2025-03-07T10:34:22Z
@egaliterrevolt,"Apakah blackrock, Vanguard akan menjadi vendor pengelola Danantara ??",0,2025-03-07T09:09:57Z
@priyosusilo7368,"Harusnya Menteri Investasi cari investasi dari luar negeri aja, nggak usah ngurusin DANANTARA....kayak nggak ada orang aja",0,2025-03-07T07:57:38Z
@cimengart5306,"buat aturan hukuman mati mutilasi ke pelaku korupsi danantara, baru masyarakat bisa optimis",0,2025-03-07T07:06:11Z
@susiyanimaspuah5088,"sistem sebagus apapun kalo orang yang menjalankan ga benar, sistemnya akan rusak juga pada akhirnya",0,2025-03-07T05:03:41Z
@rosidinrosidin678,"Rangkaian kasus korupsi raksasa yg berjalan liar, sistemik, jauh dari pengawasan...

Apakah itu yg namanya optimisme...?!!

Para kerabat dan mantan koruptor dilibatkan all out, apakah dg itu kita masih dipaksa utk percaya..??!

Tidak adanya niat baik utk membuat perpu penguatan peran KPK dan Perpu Perampasan Aset & Pemiskinan Koruptor, apakah itu yg disebut janji penegakan hukum dan pemberantasan korupsi..?!!!

SUDAHLAH ...
SEMUANYA NOL BESAR..!",0,2025-03-07T03:38:08Z
@garsumtea7884,"Aahhhh muak dengan pemerintah apa2 proyek....

Ujung ujungnya korupsi..

Mendingan fokus dulu urusin korupsi yang terjadi sampai menangkap dalangnya.
Ngurusin korupsi yang sederhana aja gak becus....

Ini sok-soan mau ngurus danantara.... Pret.....",2,2025-03-07T02:22:52Z
@jokoriyadi1562,"Raymond kebanggaan kita, pemikiran yang maju dan menunjukkan perjuangan ✨✨",0,2025-03-07T01:52:46Z
@WKK002,"Pak Rosan harus memilih jadi operator atau jadi regulator .

🙏",0,2025-03-06T23:14:29Z
@rahardjonosigit9433,"*_💥BERANTAS WANI PIRO !!_*_  Aparat Penegak Hukum, ASN, Polisi, Jaksa, Hakim, harus melaksanakan PEMUTIHAN HARTA KEKAYAAN => BEBAS HUKUM. _*_HUKUM MATI Bila masih ada GRATIVIKASI TERSELUBUNG >> 10M._*  👉 ☠️ 👈",0,2025-03-06T22:31:23Z
@antonseptiando9976,Sangat berimbang.. Bocil youtube vs Expert. Hebat kompas tv 😂😂😂😂,0,2025-03-06T21:48:42Z
@abitora-g8c,SATU KATA...BOHONG....,0,2025-03-06T20:55:17Z
@morningdew14,Let's wait and see ? So happy or sad ?,0,2025-03-06T20:27:52Z
@muh.ramadhanasyahid9625,Hukuman dlu yg di spakatin …,0,2025-03-06T20:06:39Z
@refimariska2783,Keliatan ni bapak gelagapan jawab pertanyaan koh ray,0,2025-03-06T16:02:02Z
@refimariska2783,37:05 baik apanya wong orang ter korup,0,2025-03-06T15:59:26Z
@hobimancing619,Sritek aja bisa tumbang disitu pasti ada korupsi,0,2025-03-06T15:33:33Z
@jonoklowor6343,"Indonesia bisa maju 
Bila para korupsi dihukum matoyy !!!!!",0,2025-03-06T14:50:14Z
@hakimhasan3401,"MAKAN SIANG GRATIS JGN DULUH PAK PRABOWO.KARENA ANAK SEKOLAH ADA 40 JUTA JIWA, MISAL HARGA MAKANNYA 20.000.
Dalam Setahun Menghabiskan Uang Negara 288 triliun. 
LAGIAN UANG DANANTARA UANG PANAS ,GUNAKAN DGN DANA SEDIKIT MENDAPAT UNTUNG BESAR.",1,2025-03-06T14:46:14Z
@ALETHEIAJeanesis,"Kunci utama kepercayaan publik mungkin ini ya
1. Hukuman mati untuk korupsi diatas 1 Miliar
2. RUU perampasan Aset serta blacklist terhadap terdakwa korupsi. 
3. Transparansi Anggaran negara, serta arus kas yang masuk dan keluar, lalu ditayangkan 24 jam di publik.",3,2025-03-06T10:37:58Z
@SevenAmoora,alah po iyo ......?,0,2025-03-06T07:25:20Z
@gamergamerzcorps6009,Haha Raymond Chin....ga ada seujung kuku sama Pak Rosan 😂,0,2025-03-06T05:30:28Z
@wiwikmaryati1968,Danantara....???,0,2025-03-06T02:05:13Z
@tespercobaan2203,"Jujur, saya tidak pernah se-tidakpercaya ini terhadap Negara.",0,2025-03-05T23:50:24Z
@MomzVT,Aku gak percayaaaaa! Harusa disahkan hukuman mati untuk koruptor,0,2025-03-05T21:03:26Z
@kuswariwari580,"Kalau punya slogan ,hapus penghianat negara (tukang kurupsi) niscaya akan sukses oprasional danantara",0,2025-03-05T20:50:46Z
@SholbiMuhammad-wx9fj,"Saya takut di kecewakan yang ke sekian kali,,,,,tanyakan pada rumput yang bergoyang,,,,,,",0,2025-03-05T20:31:58Z
@PetPaloozaaa,SAYA BERNUBUAT AKAN TERJADI KORUPSI DALAM PENGELOLAAN INI,0,2025-03-05T19:44:24Z
@radiushadariah9010,yg urus saja menteri dan wakil.menteri. lalu siapa yg percaya dikelola secara professional dgn good corporate governance. ini juga tidak mungkin dipercaya dgn rekrut Tony Blair bahkan berkesan tidak percaya diri snh bangsa,0,2025-03-05T18:59:30Z
@BroBrout,Rakyat sudah trauma😢😢😢,0,2025-03-05T17:11:29Z
@adhypaulus,Sudah bnyk badan pengelola uang rakyat di indonesia terkena korupsi.,0,2025-03-05T15:58:05Z
@Hamamiyusuf5,Berakhir sudah indonesia berdiri 80 tahun maksimal 100 tahun dg berdirinya Danantara maka negara Indonesia udah digadaikan ke rrc/china.....imdonesia pasti tidak mampu bayar hutang ke china dan resikonya negara Indonesia dikuasai china.... Maka jangan harap lagi ada kedaulatan kndonesia krn negara sudah tergadai.... Semua kantor dan asset bunn jadi agunan ke china dan semua asset ptpn dan perhutani jadi agjnan ke china..... Selesai sudah...,0,2025-03-05T14:32:40Z
@KaharKurbian,"Kontrol 24 jam, bila perlu jangan tidur terus menerus, saya siap mengawasi perjalanan mereka bahkan di dalam wc sekalipun",0,2025-03-05T13:33:00Z
@indotalent,"Sh*t funding.. pengurus adalah pundamental, siapa yg mau percaya",0,2025-03-05T13:28:16Z
@johnnytbg9142,😂😂 😂  masih pada percaya?,0,2025-03-05T12:14:30Z
@ZERO-em6lj,"psda dssarnya orang mah kalo tamak bakal banyak seribu cara buat bisa uang itu ke rekening pribadi, terus bikin laporan palsu",0,2025-03-05T12:11:34Z
@caffeine8622,kenapa ngundang yutuber ?,0,2025-03-05T11:12:21Z
@blueocean1561,PASTI dikorupsi tinggal nunggu waktu saja,0,2025-03-05T11:07:24Z
@BotolHidup,Roslan ini menjawab tidak transparan seperti ada yg ditutup tutupi,0,2025-03-05T05:56:27Z
@imankusmanto7791,Kita tenang kalo finalis OCCRP dikeluarkan dari Danantara.,0,2025-03-05T04:19:03Z
@ariefsantoso9034,"Danantara harus sukses dan menyejahterakan bangsa ini..
Ayo buktikan🎉",0,2025-03-05T03:18:48Z
@ahmadsubhan379,"Jika gagal demo seluruh indonesia besar-besaran udah gak ada lagi kasih hati pemerintah, soalnya ini ngaruh sama negara",0,2025-03-05T02:15:03Z
@anakikan621,Seberapa Yakin : ya 100% lah gw yg jalani,0,2025-03-04T23:08:26Z
@dejolab6973,"Yaudah remon ikut dalam pemerindah sebagai adviser Danantara saja, gimana?",0,2025-03-04T22:59:11Z
@anakikan621,"Ga usah berbelit2. Sahkan 1. UU perampasan ASET, 2. HUKUMAN MATI KORUPTOR. Udah Selesai",0,2025-03-04T22:56:52Z
@cabagoos,SIMPEL SAJA. GK USAH TERLALU RIBET DAN BANYAK PENGAWAS. CUKUP SAHKAN UU ANTI KORUPSI. DAH ITU SAJA SEBAGAI BUKTI DAN JANJI ANDA TIDAK AKAN KORUPSI,0,2025-03-04T22:33:23Z
@cabagoos,UU yg bisa bikin koruptor miskin disahkan dulu deh. Baru buka DANANTARA,0,2025-03-04T22:09:23Z
@muhammadmartunis1995,Wajib miskinkan para koruptor dan penjarakan seumur hidup.,0,2025-03-04T21:21:12Z
@domimala1423,mantap haeus semua orang yang imfestasi di dinantara diwajib kan manuia indonesia jangalagi taru kekayaanya di luargegri..,0,2025-03-04T20:33:57Z
@sukma_darmawan,"bapak ini selalu bilang ""building trust cannot overnight"". tapi masalahnya pas pagi siang sore public trust bukan dibangun tapi malah diancurin. wkwkwkwk.

kita liat aja lah, indeks ekonomi bisa diukur kuartalan. kita liat aja bakal bener apa nggak.",0,2025-03-04T19:37:52Z
@daniradite6,Semoga saja Bang Raymond ini tidak di beli sama Pemerintahan agar bisa selalu kritis dalam segala tindakan yang dilakukan pemerintahan.Karena banyak yang mengaku smart people tp giliran di tawarin jabatan tetap tergiur.Tinggal menunggu system transparansi nya saja bagaimana,0,2025-03-04T17:01:46Z
@Bekalsiang,"Kenapa ya.. orang pemerintah, selalu ngomong berputar2?…",0,2025-03-04T15:38:25Z
@welemtan4441,"Kepercayaan itu yg utama, bukan membela babu buta dan kelihatan jadi bodoh yg tua",0,2025-03-04T14:32:51Z
@opinigino6937,"Yang kuatir itu, adalah mereka yang selalu mencuri,. Artinya izinkan dulu, mereka bekerja, agar kita semua tahu. apa yang mereka lakukan. Selain itu, ini Danantara adalah solusi dari berbagai keraguan kita selama ini.
Sehingga hanya satu kata izinkan dulu mereka bekerja...!!.",2,2025-03-04T14:11:49Z
@ihky_98,"Saya sebagai masyarakat awam yg kurang paham persoalan dana antara merasa pesimis jika para koruptor tidak dihukum mati bagi saya silahkan pemerintah naikkan pajak. Ppn naik, pph naik pajak kendaraan naik silahkan  saya siap membayar pajak asalkan harus transparan, akuntabel, dan yg lebih pentingnya koruptor harus di hukum mati",0,2025-03-04T13:34:19Z
@alimperdana4101,"Sya sh 1 prtnyaan ajh, apa untungnya buat masyarakat lpisan bawah sprti sya yg jngankan mslah investasi . Kita cari krja buat dpetin uang makn stiap hri ajh susah.",0,2025-03-04T12:58:38Z
@ikhenane,"Dari Papua, I adore you Raymond  ❤ si Bapak CEO tolong jawab dulu  pertanyaannya, malah muter, wasting time 🤦‍♀️",0,2025-03-04T12:47:37Z
@andalas4510,"Rosan, adueh dia lg, bagi kami sgt paham siapa dia.",0,2025-03-04T12:07:42Z
@imana3370,Tamunya.. duta israel vs duta pemerintah,0,2025-03-04T09:54:31Z
@Aritokeqr9lo,"Selagi hukum di indonesia di isi orang"" gak waras saya sangat yahkin danantara akan ambruk dan indonesia akan"" bener"" bubar",0,2025-03-04T09:48:01Z
@Siapaluuuu,PAK ROSAN PAK ROSAN,0,2025-03-04T09:11:45Z
@vaniagrop,"KORUPTOR... HUKUMAN MATI,",0,2025-03-04T09:10:08Z
@apriliandidarmawan3741,"INTI nya skrang nama nya kabinet BALAS BUDI
jdi gk usah terkejut siapa yg berjasa bgi dia 
pasti dia balas budi",0,2025-03-04T09:07:52Z
@rinaldischoember2223,Uang Besar ...Pengawasan minim...Lahan basah bagi Koruptor .....,0,2025-03-04T07:38:14Z
@Deny-Rhomdony,"Dagelan tanpa henti

Raja Jawa yg terkenal dengan reputasi kebohongannya dipercaya jd pengelola Danantara ... Yg satu lagi mantan tahanan korupsi ....

Kayak gak ada orang lain yg layak diantara 270 juta penduduk Indo 😂😂😂😂",0,2025-03-04T06:03:21Z
@hendryssshwkwk,kesimpulan dari dialog ini: JADIKAN RAYMOND CEO Danantara menggantikan si botak gembul rosan,0,2025-03-04T06:00:15Z
@VDC09,"Raymond pernah mendirikan perusahaan investasi TU. Bersama Timoty dan Felicia dan sudah jelas berpengalaman di bidang investasi. Dan kamu bilang bukti nyata, di negara dengan track record keuangan dan birokrasi yang sangat buruk, bagaimana kamu bisa mempercayakan sebuah tanggung jawab hanya dengan lepas tangan. Memang bukti nyata adalah segalanya, namun kita dapat memperkirakan kemungkinan berhasil dan gagal sebuah usaha dengan berbagai analisis. Inget gak ada sesuatu bisa berubah dengan sekejap seperti sulap, dunia tidak seindah itu. Kalau dari track record dan eksekusi nya aja sudah gak betul bagaimana mau sukses. Di dunia investasi 75 % kegagalan terjadi karena ketidak kompetenan investasi dan pimpinan. Jadi sudah bisa di simpulkan kalau proyek ini sendiri terlalu banyak kemungkinan dalam kegagalan dan berpotensi menggagalkan negara Indonesia menjadi negara maju",1,2025-03-04T03:11:47Z
@hendrasyachri2726,Bicara sekelas menteri masih di bawah level seorang yg aktif di sosmed.😅😅😅,0,2025-03-04T01:15:29Z
@tioansori4563,"Uu perampasan aset sahin dulu,
Baru percaya,",0,2025-03-03T23:38:18Z
@riswandhatv105,127 Trilun bakal di korupsi yakin seyakin yakinya,0,2025-03-03T23:29:58Z
@RantauBujur-j1v,"Danantara harus membangun budaya integritas, menerapkan transparansi dalam keuangan dan bisnis, serta memperkuat pengawasan dengan audit berkala. Dengan kebijakan anti-korupsi yang tegas, sistem pelaporan yang aman, dan sanksi yang jelas bagi pelanggar, risiko korupsi dapat diminimalkan. Kepemimpinan yang berkomitmen terhadap etika akan menjadi kunci utama dalam menjaga kredibilitas perusahaan di masa depan.",0,2025-03-03T21:07:38Z
@fanzhazhimran,kawal transparansi dan janji NO KORUPSI,0,2025-03-03T19:43:06Z
@wahyudodihianto5071,"Klo Indonesia ingin maju, sebenernya simple kok dan nggak usah buat kebijakan yang aneh aneh,cukup Sah kan perampasan aset dan hukum mati koruptor dulu, baru buat kebijakan yang ambisius.",0,2025-03-03T19:36:59Z
@condemned66,YG UDAH² NGOMONGNYA NIPU SEMUA PEJABAT² !!,0,2025-03-03T16:58:59Z
@sponbob6216,"danantara investasi..
jadi lahan untuk korupsi..",0,2025-03-03T16:47:18Z
@samsuzanasamsudin549,"Prabowo harusnya lebih pinter jgn omon omon saja, apa jaminannya nga bakal di korupsi?",0,2025-03-03T16:42:43Z
@samsuzanasamsudin549,"Hhaaha.. Kok tetamu undangan sdri aku lebih percaya gen millenial spt kak Raymond bukan bapak itu dulu juga pernah ada sejarah korupsi..kenapa msih muka lama org2 lama yg ya bisa dikatakan ada bad track record diberi peluang, kalau di Malaysia anak muda Tengku Zafrul, malah gubernur bank juga masih umur 30an,bila yg tua korupsi mmg udah jd darah daging mereka..",0,2025-03-03T16:37:36Z
@fync7514,"pejabat isinya orang2 munafik
najissss",0,2025-03-03T16:22:21Z
@fync7514,"beri hukuman mati aja ga sih kalo ada yg korupsi, sebel banget sama ni negara... gelapp gelappp",0,2025-03-03T16:21:54Z
@yuvoria,BUMN di era pak erick? ya lihat sendirilah PERTAMINA,0,2025-03-03T16:19:05Z
@SittiMutmainnahnawal,Kalo berhasil makin maju. Kalo gagal menghawatirkan benih2 pembrontakan muncul. Jadilah orang tua yang bisa di contoh bagi generasi penerus,0,2025-03-03T15:51:22Z
@Jannaty-bv9dy,Disahkan dulu UU hukuman mati serta pemiskinan penyitaan aset pribadi dlm korupsi  pasti perkembangannya akan cerah dan masa depan akan tergapai....,0,2025-03-03T14:57:39Z
@wongpalembangasli1,"Percuma secanggih apapun kalau operatornya korupsi, itu intinya, sehebat apapun sistem nya akan percuma jika isinya orang orang yang munafik. Danantara tidak memiliki keterbukaan, mana bisa dipercaya",0,2025-03-03T14:24:42Z
@melindaaaaaz,"Lain kali coba praktisi yang diundang buat nguliti, the overpost atau timothy ronald",0,2025-03-03T12:11:38Z
@melindaaaaaz,"Hostnya kureng, masa ga nangkap maksud dan tujuan guest itu pengennya jawaban apa",1,2025-03-03T11:56:17Z
@adist6394,"Ada Finalis OCCRP dan kroninya,, mana ada Rakyat yg percaya... Rakyat sudah sangat bosen dikibulin dan dibohongin mulu !!!",0,2025-03-03T11:39:03Z
@abjall_81,Penegakan hukumnya aja memble ... Ahhh ... Sudahlah ...!!!,0,2025-03-03T09:38:35Z
@Flarecoin,Nonton orang2 pinter dialog ikut berasa intelektual. Beda sm nonton diskusi yg di tv sebelah. Diskusinya ngotot2an..,0,2025-03-03T09:04:59Z
@PulmSweet,"pak roeslan gak berani janji gak akan ada korupsi, itu sih yang aku liat😊",0,2025-03-03T08:46:53Z
@MaraEvelyn-g7x,Ko rey menjurus skeptic trs nih...😅,0,2025-03-03T08:39:29Z
@maz.agp88,"andai aja ada HUKUMAN MATI untuk KORUPTOR sampai minimal 3 turunan sekeluarganya🤭 mungkin bukan hanya JERA, minimal mikir dulu 1000x kalo mau korupsi",0,2025-03-03T08:20:07Z
@RiadiMaulana1717,DAN ANTARA,0,2025-03-03T08:08:24Z
@midboii,"Mencoba tetap optimis namun tetap kritis. 
Ini udah kaya do or die, sih. Danantara blunder bisa bikin negeri chaos. 

Gua paham sih ekspektasi yang saaaangat tinggi buat Danantara yang dipikul sama jajarannya. Tapi kepercayaan publik udah dititik terendah. Mereka nggak bisa ngasih jaminan buat kekhawatiran publik ""what if its fail?"" Atau yang lebih buruk ""what if there's corruption inside Danantara?""",0,2025-03-03T07:42:55Z
@Hanomanmusic,"Bersihkan dulu para koruptor dengan hukuman mati, maka rakyat akan percaya. Kalau tidak meragukan 1 juta persen.",0,2025-03-03T06:40:51Z
@afdalafwan2079,"Mau sebagus apapun sejuta satu program dipaparkan, tapi jika diserahkan dan dikelola oleh orang-orang bermasalah, pasti mati sebelum sempat berkembang.",0,2025-03-03T06:12:04Z
@alimsuryo3801,"Selama blm ada uu perampasan aset dan plus penegakkan hukum yg bener,danantara sangat rentan dikorupsi.",0,2025-03-03T05:30:01Z
@triyadihermawan7585,Wapres muda ajak diskusi juga min 😊,0,2025-03-03T05:28:30Z
@eddysuryono8142,Betul Raymon namanya dana investasi bisa juga gagal ngk mungkin bisa untung terus ...prsh/perbankan aja bisa untung bisa rugi klau salah menyalurkan dana investasi nya bisa saja trjd .. Aplgi BUMN....nah betul jgn2 digunakan utk IKN agenda tersembunyi,0,2025-03-03T05:17:22Z
@eddysuryono8142,Smua commite pengawas nya  aja ngk beres smua  kok malah dibanggakan drmna,0,2025-03-03T05:13:05Z
@eddysuryono8142,Benerin integritas nya dulu dong stlh org percaya Baru dilakukan jgn dibalik ...persepsi publik sngt benar klau org tdk percaya bgm brg km bisa dijual .. pasti org tdk mau beli,0,2025-03-03T04:59:23Z
